Ticker,Setor,Empresa,RazaoSocial
HBRE3,Exploração de Imóveis,HBR REALTY,HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A
HBSA3,Transporte,HIDROVIAS,HIDROVIAS DO BRASIL S.A.
HYPE3,Comércio e Distribuição,HYPERA,HYPERA S.A.
IFCM3,Programas e Serviços,INFRACOMM,INFRACOMMERCE CXAAS S.A.
IGTI11,Exploração de Imóveis,IGUATEMI S.A,IGUATEMI S.A.
IGTI3,Exploração de Imóveis,IGUATEMI S.A,IGUATEMI S.A.
INEP3,Máquinas e Equipamentos,INEPAR,INEPAR S.A. INDUSTRIA E CONSTRUCOES
INEP4,Máquinas e Equipamentos,INEPAR,INEPAR S.A. INDUSTRIA E CONSTRUCOES
INTB3,Computadores e Equipamentos,INTELBRAS,INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA
IRBR3,Previdência e Seguros,IRBBRASIL RE,IRB - BRASIL RESSEGUROS S.A.
ISAE3,Energia Elétrica,ISA ENERGIA,ISA ENERGIA BRASIL S.A
ISAE4,Energia Elétrica,ISA ENERGIA,ISA ENERGIA BRASIL S.A
ITSA3,Intermediários Financeiros,ITAUSA,ITAUSA S.A.
ITSA4,Intermediários Financeiros,ITAUSA,ITAUSA S.A.
ITUB3,Intermediários Financeiros,ITAUUNIBANCO,ITAU UNIBANCO HOLDING S.A.
ITUB4,Intermediários Financeiros,ITAUUNIBANCO,ITAU UNIBANCO HOLDING S.A.
JALL3,Alimentos Processados,JALLESMACHAD,JALLES MACHADO S.A.
JFEN3,Construção Civil,JOAO FORTES,JOAO FORTES ENGENHARIA S.A.
JHSF3,Construção Civil,JHSF PART,JHSF PARTICIPACOES S.A.
JSLG3,Transporte,JSL,JSL S.A.
KEPL3,Máquinas e Equipamentos,KEPLER WEBER,KEPLER WEBER S.A.
KLBN11,Madeira e Papel,KLABIN S/A,KLABIN S.A.
KLBN3,Madeira e Papel,KLABIN S/A,KLABIN S.A.
KLBN4,Madeira e Papel,KLABIN S/A,KLABIN S.A.
LAND3,Agropecuária,TERRASANTAPA,TERRA SANTA PROPRIEDADES AGRICOLAS S.A.
LAVV3,Construção Civil,LAVVI,LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.
LEVE3,Automóveis e Motocicletas,METAL LEVE,MAHLE-METAL LEVE S.A.
LIGT3,Energia Elétrica,LIGHT S/A,LIGHT S.A.
LJQQ3,Comércio,QUERO-QUERO,LOJAS QUERO-QUERO S/A
LOGG3,Exploração de Imóveis,LOG COM PROP,LOG COMMERCIAL PROPERTIES
LOGN3,Transporte,LOG-IN,LOG-IN LOGISTICA INTERMODAL S.A.
LPSB3,Exploração de Imóveis,LOPES BRASIL,LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.
LREN3,Comércio,LOJAS RENNER,LOJAS RENNER S.A.
LUPA3,"Petróleo, Gás e Biocombustíveis",LUPATECH,LUPATECH S.A.
LUXM4,Transporte,TREVISA,TREVISA INVESTIMENTOS S.A.
LWSA3,Programas e Serviços,LWSA,LWSA S.A.
MATD3,Serv.Méd.Hospit. Análises e Diagnósticos,MATER DEI,HOSPITAL MATER DEI S/A
MBRF3,Alimentos Processados,MARFRIG,MARFRIG GLOBAL FOODS S.A.
MDIA3,Alimentos Processados,M.DIASBRANCO,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS
MDNE3,Construção Civil,MOURA DUBEUX,MOURA DUBEUX ENGENHARIA S/A
MEAL3,Hoteis e Restaurantes,IMC S/A,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.
MELK3,Construção Civil,MELNICK,MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.
MGEL4,Siderurgia e Metalurgia,MANGELS INDL,MANGELS INDUSTRIAL S.A.
MGLU3,Comércio,MAGAZ LUIZA,MAGAZINE LUIZA S.A.
MILS3,Diversos,MILLS,"MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A"
MLAS3,Computadores e Equipamentos,MULTILASER,GRUPO MULTI S.A.
MNDL3,"Tecidos, Vestuário e Calçados",MUNDIAL,MUNDIAL S.A. - PRODUTOS DE CONSUMO
MNPR3,Alimentos Processados,MINUPAR,MINUPAR PARTICIPACOES S.A.
MOTV3,Transporte,MOTIVA SA,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.
MOVI3,Diversos,MOVIDA,MOVIDA PARTICIPACOES SA
